temp_image.jpg,0.82,0.18
temp_image.jpg,0.50,0.50
temp_image.jpg,0.44,0.56
temp_image.jpg,0.57,0.43
temp_image.jpg,0.57,0.43
temp_image.jpg,0.57,0.43
temp_image.jpg,Bu görsel orijinal olarak değerlendirildi.
temp_image.jpg,Görselde deepfake şüphesi tespit edildi!
temp_image.jpg,Deepfake suspicion detected!
temp_image.jpg,Deepfake suspicion detected!
temp_image.jpg,Deepfake suspicion detected!
temp_image.jpg,Bu görsel orijinal olarak değerlendirildi.
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Görselde deepfake şüphesi tespit edildi!
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Görselde deepfake şüphesi tespit edildi!
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Görselde deepfake şüphesi tespit edildi!
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Görselde deepfake şüphesi tespit edildi!
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Deepfake suspicion detected!
https://i.guim.co.uk/img/media/9d5e9162023d9ccd0cbd76fb9081df1df2fb2e4e/0_111_3000_1800/master/3000.jpg?width=1200&quality=85&auto=format&fit=max&s=048bac90840929622eb2faaae44974ff,0.44,0.56,Deepfake suspicion detected!
"https://www.freethink.com/wp-content/uploads/2021/04/tom-cruise-deepfake_banner.jpg?resize=1800,675",0.50,0.50,Görselde deepfake şüphesi tespit edildi!
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7faQxtp_TCx99rw8GwgqbQqrI694-n__pXw&s,0.65,0.35,Bu görsel orijinal olarak değerlendirildi.
"https://www.freethink.com/wp-content/uploads/2021/04/tom-cruise-deepfake_banner.jpg?resize=1800,675",0.50,0.50,Görselde deepfake şüphesi tespit edildi!
"https://www.freethink.com/wp-content/uploads/2021/04/tom-cruise-deepfake_banner.jpg?resize=1800,675",0.50,0.50,Deepfake suspicion detected!
https://img.global.news.samsung.com/tr/wp-content/uploads/2025/02/Doga-Ulku-1.jpeg,0.57,0.43,This image is classified as original.
"https://www.freethink.com/wp-content/uploads/2021/04/tom-cruise-deepfake_banner.jpg?resize=1800,675",0.50,0.50,Deepfake Suspicion Detected!
